Project ID,Donation ID,Donor ID,Donation Included Optional Donation,Donation Amount,Donor Cart Sequence,Donation Received Date
98b77eee98e664fa9e4c13dece1ece79,ec672f25610ef68872f89e415071a106,8eb867c603bef104a733901a7415a3b4,Yes,20.0,6,2015-03-17 13:38:42
59e1daff6074d4ad15c7ede3865e57ed,3722d51b9086c4a259b81863e476175c,99bf9e7fd1765b1e541a327d71c66bb6,Yes,20.0,3,2018-03-31 23:26:23
662f19dda359daf06a06238efb88df26,defa7e1e3648434b32b58d9e715de26f,5995a40bd1cb2389cf10e4109935cdf7,No,40.0,8,2016-11-27 08:41:35
e404461832ba857aed03948fb538662c,3d6e585afedc9fb9f8b2c227788f9493,8e6c614ac1218913da130c26040f37c2,Yes,6.32,27,2015-01-26 08:24:31
e5c49266dcf7107b622a307376ffdf9f,bcb86c3a9aec6e5df3ee2947d1c650ae,3b3ed9308ee3865eb8a80d84084fd0b9,Yes,100.0,2,2013-12-04 19:06:03
08daac55f8e56115f1493dd44fa74988,b8625be8900877b6a98e6caf41fc33aa,8374c9bcc6dd2302f6f8db80304b0705,Yes,25.0,5,2018-03-28 23:14:41
8a0849e08880fe47ef2479032a185b32,72f2426a15120826c117a52284a3226e,834faf952719b2d34eae4f970fcb81c1,Yes,2.0,4,2015-01-12 12:02:07
42292b5c39757fc84ea57402e376da29,54c60f4ad77fb194535d68542dc0a6b0,44ce9a04336b433f40ec55f2ea0f6ee2,Yes,50.0,2,2015-08-07 14:16:09
bcbabde3c8a14abc93e1167c592cca77,94ab58758619a46e929e4408e852bf95,75a6f8f1ab39b894eb565781622de399,Yes,25.0,13,2018-02-24 08:00:31
2918f8ac28b5287e6f20471a928d2ce4,eec09bff3831e568846db7643fa3f60c,feaed69c8dd8b8c48e818a193aa22d2d,Yes,50.0,9,2016-09-22 13:05:24
9cfa78cf9eba020deca2b70db21f9e3c,7288c90dcb567dd07a1de8329e112be5,8f1c803a5c6b6eda89f94f0d4952b937,Yes,25.0,1,2015-10-05 12:36:39
68c89723ca26bb5667cfceb08fd774d7,3b4ca0e4d9a035ad5f25a5a0d440f79c,8b8a5464080c3a4bf6d9d13f155877bc,Yes,10.0,1,2013-12-03 12:21:02
e3cdef018d5eda144155813e7619ac38,f997a3f49d240b4b2f68330892fecb7b,4b52749999f8329d641899e598ba5a37,Yes,5.0,330,2016-08-03 17:43:07
0c2ea7297b537ce42b2144468c110dfc,7a309acdfe038801b75f39466587dd18,83222490e78d1144218c555eeefeff9f,Yes,10.0,2,2014-12-08 13:37:36
ea48e84fff22fe277927d871f9076fed,226808033ee304fb832bdf950e373c7b,800a7423f1703ebb387a7c141eedc86d,Yes,25.0,1,2017-10-19 19:16:50
66d42ffa41c140bfdf67591dca8de9c4,44e326560e36198e8c1b07ecff60b1c9,cbc178a1b76bb36aaf0898e1798baa0e,Yes,20.0,1,2015-08-31 13:48:51
b1dc0c1a28aa094b3432d808f868c15a,2e909883b1c0dfac57d503ffde9461d1,df1c8144ae29c1c38853e63bb465dce6,No,30.0,1,2016-08-02 20:04:43
75fbcdd74470e81616f1d4dedc125495,a1fe9420bdeecea22c2e5e9bec113f2e,4423fbb7c000e3f1610a790084b8fcc8,No,50.0,29,2016-10-22 14:47:26
1a52d80893d7c33ba8e8a03e0cd1a197,aa5b9545ca6127503201177ffe533fa6,101231441feb504381d6be8b4adf0571,Yes,10.0,1,2015-09-15 12:44:46
fea494f865d7b799ffc656b5f47efe9c,77febaa41240f2f9918ab2f92daf605e,79dbb74754ac186c7ed1fd0f1283892f,Yes,100.0,2,2017-07-24 14:39:51
b502ba5517ab077ea85d2bba27d84594,438eab370dde027cd97bab7684a9ae61,5a01f092861e649fc45da209a530ac9f,Yes,111.89,51,2017-12-31 01:20:19
df4b0e26051a1fe29fa8907bd81a4a03,7bb266ed838d43f3cd65020af8241f3c,6a35a7514005c04f8520e5d8f7657d91,Yes,1.0,2193,2017-02-12 22:59:30
608b4c53d6e2c33597e30c808ab5c2ea,708097db2537b7393d343bf29640e955,8a8a438988a485e3c5298a6cea050969,Yes,10.0,1,2016-10-26 06:34:27
e18f429cb1ca84edf1f8551ad6e5846a,e15de63b40cdfe41923305f4d84dddc3,1ee3765a0e0e7dfcb2b1dee5c04aba60,No,20.0,1,2014-03-10 13:32:06
f571a8586b5eb3ca64aca2fddf23dcac,96af02c55cefc90c68c1c2d2ff57cc74,c99ae504aa06bd52279843edb3327129,No,25.0,1,2014-12-01 15:29:53
85e4579e432cef1326e0cf8fe8eada76,c92c99e75e731d206e04c69d49e1071a,cef86ba5954743239c73ded67550238f,Yes,1.0,3,2013-09-08 14:45:01
6fbccbfd3726352b6f6ee9c6612d2039,aed2c5f6e331052b2bef624e204969f0,ec64dd1339d078f977a0939c59b3b1fb,Yes,25.0,4,2014-10-15 16:26:09
ad7b086b429c8283c6f8ade91a4bf01c,3f726a971bcada96bf3ac7d7b9214e32,2c27f1303a2fb4aca43eaa5f9f453e5b,Yes,24.35,5,2015-03-19 20:44:29
a9e20945495a8c34f158ac805ec3f97a,d986871bd8726c83e73d8a16402fa28f,75e09805b663bbe4b80b40034c192b4a,No,1.0,1123,2015-08-16 10:49:59
23d85d1d3d598a8f821d9c3fe21b5de9,180e14742a8520911a99987d3edb56a7,9aec3f2109181ddadd737d6eb1562baa,Yes,50.0,1,2014-07-30 19:41:30
0ee5261049483027e7d5ad88985c411b,44db45a6d7ff8c184cf7827e6e548e95,438a4a220995ed35c2c3f2fbc7cbcbeb,Yes,50.0,1,2014-03-04 23:58:31
92c0f501580c0e9893c65f39393b35f4,b2b672868485bbab8cfdb151282ffe5f,2306eb8a7fa8a0dfa7ea3512405a34e9,Yes,100.0,14,2015-04-21 19:33:55
e4885ab7b4496a66a08d1da8dee409e9,30d15ec56c918c45542e737c855ee637,f86ffff6bfc22c083977efe19dbd147f,Yes,50.0,1,2017-05-04 13:19:33
0688c2dc0234934998713df9b9f3ff2a,c06cf775535cea6d1599d139effafcdc,a818c4dd0ed14f42f9e477b2db6cec4a,Yes,100.0,2,2017-09-21 14:23:56
1cbfdf4d609258713da667de9ecca2e0,fd3aaa660a8d8a484509f6f3d6d474e3,910b82bcf54dd8192536480c40cf1456,No,196.0,49,2014-09-23 14:43:09
1fb019d652d5a5ff036042a1db1308e0,965ffeae763893e4d3b6128dd2c9c6ff,7ce8367132262abb47df2da9cb4fb161,Yes,25.0,1,2015-09-03 17:28:32
