Project ID,Resource Item Name,Resource Quantity,Resource Unit Price,Resource Vendor Name
7a6f5da7e09b97d6a9542afe64a5424e,reese's peanut butter baking chips-10 oz,1.0,7.5,Amazon Business
8a679b85ca2a2041edb24bddbdcb1da2,attachable footfidget foot rest,4.0,45.05,Nasco
78e95bbc26fc072772672752cec33d35,little rock girl 1957: how a photograph changed the fight for integration (captured history),2.0,8.05,Amazon Business
c6bfaa09544e391a151e361bb471c47a,"lego education fairytale and historic minifigures set 4598356 (227 pieces, 22 different figures)",1.0,44.72,Amazon Business
faaacc331c2f115b0372eab728dc5205,earthquake terror,25.0,5.1,AKJ Education
25cd0e7ca846264b2a481e6cef4fdf4e,"faithful elephants: a true story of animals, people, and war",1.0,6.95,Amazon Business
5ac692a142ab5d563090e1838c92bb83,hidden figures young readers' edition,1.0,4.85,AKJ Education
44923d22a19225484ffbf186c2af853b,"dji phantom 2 vision+ v3.0 quadcopter with fpv hd video camera, 3-axis zenmuse h3-3d gimbal, wheeled hard case, spare battery, and memory card",1.0,1398.5,Amazon Business
32742339ff962b2e2e13a52a5d2ab4f6,"tekton 3982 mini c-clamp set, 3-piece",4.0,5.4,Amazon Business
4152c0ae5986d62c40f9594720345b6d,let's go for a drive! (an elephant and piggie book),1.0,8.99,Amazon Business
0dce5fa2b7fbbcb99c84ea709c238f8b,"sierra bees, organic lip balms, variety pack, 8 pack, .15 oz (4.25 g) each",2.0,14.99,Amazon Business
ca58e3e932e3b5ee31cd377ee727c215,ta50ga - construction paper - 9&amp;#34; x 12&#34; - gray,10.0,1.19,Lakeshore Learning Materials
fb7bb10f797d2594f3def32f31c0419d,"bic wite-out brand ez correct correction tape, white, 1/6"" x 472"", 4/pk",1.0,10.99,Staples Advantage
37ec37d711b97817108298375307381f,"quill brand hardboard tan clipboards letter size, 9x12-1/2""",20.0,1.27,Quill.com
c7e21f521980ab67364936099d11dd56,okay for now,2.0,5.1,AKJ Education
47a987fc486edef9e93b59eda1f0a3a8,pp335 - lakeshore smart pencil,1.0,29.99,Lakeshore Learning Materials
af72f7c12e004f30dd559c7768681841,slam!,1.0,8.97,Amazon Business
ca764c05128e279e82af826aeb304081,buy it right money game,1.0,25.46,Kaplan Early Learning Company
37012a430dc00602eaf7ddb7c24ab134,"kaytee timothy hay, 96-ounce bags",2.0,19.99,Amazon Business
23ca5624732bf639cca67a1d3fa79dfe,jansport superbreak backpack - rasta - one size,1.0,36.0,DICK'S Sporting Goods
e180ed84043f2eac9ab88256b3ce9744,ce326 - classroom cd/cassette player with bluetooth&#174;,1.0,129.0,Lakeshore Learning Materials
9e0b4acd832b90f13e1e841be3f3c3ce,fabric squares - 5 x 5 pkg. of 30,1.0,8.01,Nasco
7d7cf113f8967df7f4f9272dcd9dd266,kingston   flash memory card   32 gb   microsdhc,2.0,19.74,CDW-G
8baa94a827198d84d6ffbd78c3a97dce,"my name is gabriela/me llamo gabriela (bilingual): the life of gabriela mistral/la vida de gabriela mistral (english, multilingual and spanish edition)",2.0,11.89,Amazon Business
fe05357435dcaa7e0eaa3b18eac7fb53,chester's way,1.0,5.2,Amazon Business
55c966ce073c1b530734d75ffb98f3ab,"westcott all purpose scissors, pointed tip, 8"", value with bent handle, red, black, and blue, 3/pack",1.0,9.29,Staples Advantage
d09188d55446efcb3f383444755e5441,major accent pink highlighter,6.0,1.08,Teachers' School Supply
bbfa9adfc5dfe1d4f503e46a03958168,malala yousafzai: champion for education (rookie biographies (paperback)),2.0,5.03,Amazon Business
22ca51fc08fc19ab6c3322e35ba90085,de190 - reusable write & wipe pocket - set of 10,1.0,22.5,Lakeshore Learning Materials
6dc194f4963a644d900310c29d35d56b,young genius: brains (young genius books),1.0,6.29,Amazon Business
93947b38b51148b88679e79a0610700c,rump,6.0,5.1,AKJ Education
3acaf120fa2ddfd4f5a19751ff9a54ec,acer chromebook c720-2848 - 11.6' - celeron 2955u - chrome os - 2 gb ram - 16 gb ssd,2.0,211.53,Best Buy Education
4e14bdb32ed768e4a4d93a983cd4c0cc,"wordlock pl-004-bk 5-dial combination padlock, black",4.0,9.99,Amazon Business
61311bbc3bec6b6d199a7278981ce8f4,national geographic kids ultimate u.s. road trip atlas,3.0,4.37,AKJ Education
5fdac30ffc7aad9c3f3d573ccf09eed6,die allstar/bigz frame star,1.0,13.3,School Specialty
