School ID,School Name,School Metro Type,School Percentage Free Lunch,School State,School Zip,School City,School County,School District
4c9489a32a3eeea77076f84f6b87f851,Meadow Lane Elementary School,urban,66.0,North Carolina,27534,Goldsboro,Wayne,Wayne Co Public School Dist
6af89102a3da10f01420650dfeba4a7c,Anaheim High School,urban,87.0,California,92805,Anaheim,Orange,Anaheim Union High Sch Dist
2f21bd607cebc7eeadc01f9f66f51ace,Chapin Street Elementary School,suburban,33.0,Massachusetts,1056,Ludlow,Hampden,Ludlow Public Schools
dcd904dcc52d1a5eea13791dbc528ff8,Dianne Feinstein Elementary School,urban,29.0,California,94116,San Francisco,San Francisco,San Francisco Unified Sch Dist
10f0682566845ea756eb8668fecdb3c0,E L Ross Elementary School,urban,45.0,Tennessee,37312,Cleveland,Bradley,Cleveland City School District
2c33446cface30f6f4ed51cfe294ee64,Chaffey High School,urban,81.0,California,91762,Ontario,San Bernardino,Chaffey Joint Union Hs Dist
b80c90e148df4bd051d4dd243fdfe603,Pawnee Middle School,rural,71.0,Oklahoma,74058,Pawnee,Pawnee,Pawnee School District 1
ad161c935573008ccb8c971bb5707a36,Port Allegany Junior Senior High School,rural,48.0,Pennsylvania,16743,Port Allegany,Mckean,Port Allegany School District
bf0e5a8b25eee8875dfd6ed3b9178375,Turner Middle School,urban,50.0,Wisconsin,53511,Beloit,Rock,Beloit-Turner School District
31d5c74b2ddc9ffa37858b9381a92ef9,South Windsor High School,suburban,13.0,Connecticut,6074,South Windsor,Hartford,South Windsor Public Sch Dist
bb030eee1713b0daa4fa576a273c3ebf,Mountain Park Elementary School,urban,7.0,Georgia,30075,Roswell,Fulton,Fulton Co School District
205a60ef6299fd76eef0394f7d6dcb2e,Carver Middle School,rural,68.0,Mississippi,39154,Raymond,Hinds,Hinds Co School District
be0f451f1efb5562ae43be9bd17b2b14,Star Academy of Toledo,urban,42.0,Ohio,43614,Toledo,Lucas,[County Run]
656b61e0ce99109659bb016309124167,Covington High School,unknown,78.0,Tennessee,38019,Covington,Tipton,Tipton Co School District
4b14666da54aef79e5e600bf02bc01e9,North Posey High School,rural,33.0,Indiana,47633,Poseyville,Posey,Metro Sch Dist North Posey Co
5802995dbced9e7578593b1b3f02a072,Lakeland Elementary School,unknown,12.0,Tennessee,38002,Lakeland,Shelby,Lakeland School District
e77a8a5ad5f2a97a5653862bcc5f7f4b,Phoebus High School,urban,60.0,Virginia,23663,Hampton,Hampton City,Hampton City School District
2e8c87cb9d016d0e0f3f8f8630306200,James Jordan Middle School,urban,91.0,California,91306,Winnetka,Los Angeles,Los Angeles Unif Sch Dist
f3f3ff3437c8a0a7c217d4b9764624f3,Warren Junior High School,rural,47.0,Texas,77664,Warren,Tyler,Warren Ind School District
4da5a04b66e733a3efbe26151f5a74e3,Allen Creek Elementary School,suburban,39.0,Washington,98270,Marysville,Snohomish,Marysville School District 25
92eca73ebe753cb8e4b76a91dd033d08,Oak Ridge Elementary School,urban,89.0,California,95820,Sacramento,Sacramento,Sacramento City Unif Sch Dist
799448cf0fbca7d59dfdb9aec6c1f86d,Mario G Olmos Elementary School,urban,89.0,California,93727,Fresno,Fresno,Fresno Unified School Dist
aa61961dd8b0809e15a96469b64aa454,Adams Elementary School,urban,57.0,Wisconsin,53545,Janesville,Rock,Janesville School District
b17f6e6fe6a4bba7d877177f54af456a,Tesfa International School,urban,70.0,Minnesota,55421,Columbia Hts,Ramsey,Minnesota Dept Of Education
e35b6c750fb3a8fe2e23ffc655fd8c40,Lyndon B Johnson Middle School,rural,40.0,Texas,78636,Johnson City,Blanco,Johnson City Ind Sch District
89a994723c21ea220e13d4f6ecf46d06,Northside School,town,49.0,Texas,76384,Vernon,Wilbarger,Northside Ind School District-Wilbarger
2e7133e42fc781155c4533d977c65446,Highland Park Elementary School,unknown,56.0,Indiana,47403,Bloomington,Monroe,Monroe Co Cmty School Corp
4f239cb95003430b99602231721ba20a,KANAKA Public Charter School,town,95.0,Hawaii,96752,Kekaha,Kauai,Kauai School District
9abe452dc86f9e0c1942f302233fea55,Audubon Charter School - Broadway Campus,urban,80.0,Louisiana,70118,New Orleans,Orleans,Orleans Parish School District
deff095df36683608ea161c0cbb4260a,Jamestown Elementary School,rural,48.0,Colorado,80481,Jamestown,Boulder,Boulder Valley Sch Dist Re-2
fe7c259558c213fcf3e5a49a59527fc8,Clear Creek Elementary School,suburban,56.0,North Carolina,28227,Charlotte,Mecklenburg,Charlotte-Mecklenburg Sch Dist
48aa1ff5d01b4b3471cffe9329aaccce,Hopewell Elementary School,suburban,25.0,Ohio,45069,West Chester,Butler,Lakota Local School District-Butler
178b68298b290ac88e6dc6c03481823d,Alamo Elementary School,suburban,2.0,California,94507,Alamo,Contra Costa,San Ramon Valley Unified Sd
f781af129db444501e27298c90181953,Corsica-Stickney Elementary School,rural,57.0,South Dakota,57375,Stickney,Aurora,Corsica-Stickney Pub Schools
87f6082c9ff90e2f4e840d58e000a421,Gateway International School,urban,85.0,California,95864,Sacramento,Sacramento,San Juan Unified School Dist
0ddddd859277483ea20635c4a4c04e52,Randolph Elementary School,urban,77.0,Virginia,22204,Arlington,Arlington,Arlington Public Schools
cab39c0c8c91fd17bf59a4e8631bf224,Flower Valley Elementary School,suburban,19.0,Maryland,20853,Rockville,Montgomery,Montgomery Co Public Schools
04a3fdf54a90528a8d6cd0011e57972d,PS 108 Sal Abbracciamento,urban,95.0,New York,11208,New York City,Kings (Brooklyn),New York City Dept Of Ed
890ca03e1a0b33e89ff209cfc4dab6fe,Lake Dallas High School,urban,47.0,Texas,76210,Corinth,Denton,Lake Dallas Ind School Dist
80faf4b09bce0deb8feb6da02e85587b,East Aiken School of the Arts,suburban,69.0,South Carolina,29801,Aiken,Aiken,Aiken Co School District
44061d81f90a7e8b049baa95e025ad22,Clare High School,town,50.0,Michigan,48617,Clare,Clare,Clare Public School District
b26c406a4b339e67cf0a182217facc6a,Hillside Middle School,suburban,42.0,Ohio,44131,Seven Hills,Cuyahoga,Parma City School District
3237828e09ca48c3cec24eb3c9f2c390,Kingsland Elementary School,rural,38.0,Minnesota,55975,Spring Valley,Fillmore,Kingsland Public Sch Dist 2137
f2b953b53d6e9f66db34d6620883d10c,Surgoinsville Elementary School,rural,73.0,Tennessee,37873,Surgoinsville,Hawkins,Hawkins Co School District
7365f2c3f0f1412283141bc7e6027814,Homer Davis Elementary School,urban,80.0,Arizona,85705,Tucson,Pima,Flowing Wells Unified Sd 8
13c4290d72ef1799417c8365aac1f094,El Camino Real Elementary School,town,95.0,California,93203,Arvin,Kern,Arvin Union School District
9482043ff1ee2a5f8d366fe19aa7077a,Cordill-Mason Elementary School,suburban,26.0,Missouri,64014,Blue Springs,Jackson,Blue Springs School Dist R4
4b8eede11538cc5111c931a242bde4c1,O'Hara Elementary School,suburban,13.0,Pennsylvania,15238,Pittsburgh,Allegheny,Fox Chapel Area School Dist
926dad8a7ef0ca174b62ad619c4ca23f,Robert Moses Middle School,suburban,38.0,New York,11703,North Babylon,Suffolk,North Babylon Union Free Sd
c794d7340abe0adfc1616c846414181d,Meadowlark Elementary School,urban,91.0,Utah,84116,Salt Lake City,Salt Lake,Salt Lake City School District
6b82a2bce2f38e6cb1beb2b6f9771b7f,Reeds Creek Elementary School,town,61.0,California,96080,Red Bluff,Tehama,Reeds Creek School District
5b143bac062513374f8309209f8366af,Walker Elementary School,urban,95.0,Florida,33311,Ft Lauderdale,Broward,Broward Co Public Schools
055b02f713debbe82747f9718b948c6e,Sawgrass Bay Elementary School,rural,74.0,Florida,34714,Clermont,Lake,Lake Co School District
43c1679ee0d0e51de1e3888808327035,Kellogg Elementary School,rural,26.0,Michigan,49060,Hickory Crnrs,Barry,Gull Lake Cmty School District
eda62ad458e3afaf1530f795d5a2c2db,Walls Elementary School,rural,80.0,Mississippi,38680,Walls,De Soto,Desoto Co School District
a52c517004894eaf391d850660b9e25c,Novato High School,suburban,39.0,California,94947,Novato,Marin,Novato Unif School District
05bf23763b57501c3dd9a184a8b16ad2,Rockwell Elementary School,unknown,56.0,North Carolina,28138,Rockwell,Rowan,Rowan-Salisbury School Dist
351bdb429044583cd43ff092b160fae4,Chesapeake Middle School,unknown,64.0,Ohio,45619,Chesapeake,Lawrence,Chesapeake Union Exempt Vlg Sd
38d96d02f013e335167da75f72044594,Jerome Early Childhood Center,suburban,87.0,Illinois,62206,Cahokia,St Clair,Cahokia Unit Sch Dist 187
eb8c051b02a31bccaa45169a719dcbc6,Midnimo Cross Cultural CMS,urban,74.0,Ohio,43211,Columbus,Franklin,Ohio Department Of Education
fa8183d14b31935bb2188b9c1fcca01e,Dingman-Delaware Middle School,rural,35.0,Pennsylvania,18328,Dingmans Ferry,Pike,Delaware Valley School Dist
517496ceffe1c671ce81d4e50b6faa77,Jordan Valley School,suburban,44.0,Utah,84047,Midvale,Salt Lake,Canyons School District
2becf9ce035d9cbe944fc461b16901f2,Aspen Ridge Middle School ,rural,,Michigan,49849,Ishpeming,Marquette,Nice Community School Dist
e58e818d620ffbbcb7caf45f86fccaa6,James H Ross Elementary School,suburban,35.0,Texas,77573,League City,Galveston,Clear Creek Ind School Dist
f041e16b706f0b34dc31836b3534e018,California Montessori Project - American River,suburban,46.0,California,95628,Fair Oaks,Sacramento,San Juan Unified School Dist
e89e48675179bc741c304bcf34a3d86e,Brentfield Elementary School,urban,7.0,Texas,75248,Dallas,Dallas,Richardson Ind School District
5a511898af6d7479679da7047db67efb,Lillian Jacobs Elementary School,suburban,35.0,Massachusetts,2045,Hull,Plymouth,Hull Public School District
94036cb098ca6d345cd23370e4848551,Grant Elementary School,suburban,53.0,Ohio,44107,Lakewood,Cuyahoga,Lakewood City School District
9d2fa5bc25fca59934b977e63ee3485f,Roger Bell Elementary School,town,69.0,North Carolina,28532,Havelock,Craven,Craven Co School District
7c39b4667c4a76d7488bc8c41a42d957,Sango Elementary School,urban,16.0,Tennessee,37043,Clarksville,Montgomery,Clarksville-Montgomery Co Sd
0189c8a2561e2362f25a291e7b5af5a9,Alfred L Renner Elementary School,urban,39.0,Missouri,64153,Kansas City,Platte,Park Hill School District
bce56b193482ef8731e45732dc2fbfbb,Emmett High School,town,58.0,Idaho,83617,Emmett,Gem,Emmett Ind School District 221
7bc157422de6ee3ee707fd53639d7d75,Jersey City Global Charter School,suburban,,New Jersey,7307,Jersey City,Hudson,New Jersey Dept Of Education
0d37eb3b54a6d94798388e63f83ac9f2,Dakota Prairie Elementary School,town,30.0,South Dakota,57006,Brookings,Brookings,Brookings School District 5-1
2b97676744fa161294d922045f604def,Sun Valley Elementary School,suburban,61.0,Arizona,85345,Peoria,Maricopa,Peoria Unified Sch Dist 11
29523e5e58fb4c2649c4ab9f94c7711f,Endhaven Elementary School,urban,27.0,North Carolina,28277,Charlotte,Mecklenburg,Charlotte-Mecklenburg Sch Dist
8110064fbd8029d45550c4e7a20c433f,Griffiths Middle School,suburban,70.0,California,90240,Downey,Los Angeles,Downey Unified School District
1cf52faaa7f4e7b8ba3e4bed1411a667,Rancho Sienna Elementary School,unknown,,Texas,78628,Georgetown,Williamson,Liberty Hill Ind School Dist
006960b6c63c002a199220cc4c928ef6,Dover Elementary School,rural,40.0,New York,12522,Dover Plains,Dutchess,Dover Union Free Sch District
